Date,Salesperson,Customer Name,Car Make,Car Model,Car Year,Sale Price,Commission Rate,Commission Earned
4/28/2023,Gabriel Rivera,David Weiss,Ford,Altima,2016,45726,0.052291408,2391.08
11/29/2022,Nancy Perez,Steven Smith,Ford,Corolla,2012,16744,0.135384275,2266.87
11/3/2022,Michael Dennis,Nathan Gonzales,Ford,F-150,2017,21079,0.051727882,1090.37
2/11/2023,Diana Moore,Allison Williams,Ford,F-150,2018,16298,0.085384291,1391.59
7/4/2022,Billy Mathis,Travis Sutton,Nissan,Altima,2013,41166,0.145226002,5978.37
12/16/2022,Sean Russell,Clayton Levine PhD,Nissan,Corolla,2022,47526,0.127701653,6069.15
1/12/2023,Shawn Cooper,Renee James,Nissan,Civic,2015,47748,0.096693583,4616.93
8/21/2022,Krista Hebert,Larry Hill,Nissan,Silverado,2014,21082,0.056853321,1198.58
8/27/2022,Tara Johnson,Shaun Rodriguez,Honda,F-150,2020,43398,0.133333706,5786.42
5/22/2022,Kristin Price,Sharon Anderson,Toyota,Corolla,2013,27478,0.053166989,1460.92
8/19/2022,Eric Edwards,Randy Bradford,Toyota,Civic,2017,17635,0.119878064,2114.05
8/22/2022,Tammy Ortiz,Holly Anderson,Honda,Civic,2015,39225,0.088137396,3457.19
2/13/2023,Ronald Holden,Kimberly Rios,Honda,F-150,2016,19759,0.147858165,2921.53
12/6/2022,Kimberly Perez,Michael Booth,Ford,Silverado,2016,12726,0.12179771,1550
9/4/2022,Timothy Lopez,Lauren Landry,Ford,Corolla,2013,31982,0.101823164,3256.51
9/8/2022,Christopher Long,Kimberly Moore,Toyota,Civic,2017,31748,0.124045396,3938.19
10/12/2022,John Williams,Gary Calhoun,Honda,Corolla,2019,12329,0.061764427,761.49
9/17/2022,Elijah Smith,Arthur Rowe,Honda,Altima,2013,15403,0.129359699,1992.53
1/14/2023,Denise Galvan,Glenda Brown,Chevrolet,Silverado,2016,17058,0.105330701,1796.73
1/11/2023,Bruce Perez,Nancy Hill,Chevrolet,Silverado,2013,49306,0.050478539,2488.89
3/23/2023,Annette Velez,Cheryl Johnston,Toyota,F-150,2010,41237,0.059088288,2436.62
7/9/2022,Kelsey Adams,Terri Miller,Nissan,Corolla,2011,42768,0.063486445,2715.19
5/27/2022,Christopher Hoffman,Cody Watkins,Honda,Corolla,2013,37852,0.131178575,4965.37
